visibility,dt,id,name,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,rain.1h,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,weather_id,weather_main,weather_description,weather_icon,wind.gust,main.sea_level,main.grnd_level
4600,2023-07-26 20:09:17,2643743,London,-0.1257,51.5085,16.17,16.35,15.25,16.98,1005,96,3.09,190,0.55,75,2.0,2075535.0,GB,1690431369,1690487857,311,Drizzle,drizzle rain,09n,,,
10000,2023-07-26 20:03:26,5128581,New York,-74.006,40.7143,28.74,30.46,25.98,31.16,1017,59,5.81,165,,0,2.0,2008101.0,US,1690364802,1690417086,800,Clear,clear sky,01d,6.71,,
10000,2023-07-26 20:06:25,3860259,Córdoba,-64.1811,-31.4135,12.21,10.64,9.47,14.31,995,44,2.57,360,,0,2.0,2036678.0,AR,1690369725,1690407448,800,Clear,clear sky,01n,,,
10000,2023-07-26 20:07:07,1668341,Taipei,121.5319,25.0478,28.8,31.62,26.93,31.07,999,66,9.26,100,2.51,75,2.0,266033.0,TW,1690406311,1690454520,520,Rain,light intensity shower rain,09d,,,
10000,2023-07-26 20:03:59,3435910,Buenos Aires,-58.3772,-34.6132,12.16,11.15,10.46,12.75,1017,66,9.39,100,,3,2.0,2084309.0,AR,1690368718,1690405668,800,Clear,clear sky,01n,0.0,,
8047,2023-07-26 20:05:30,3530597,Mexico City,-99.1277,19.4285,19.45,18.83,17.25,20.62,1020,53,5.14,180,1.12,100,2.0,47729.0,MX,1690373431,1690420516,200,Thunderstorm,thunderstorm with light rain,11d,10.29,,
10000,2023-07-26 20:05:08,5344157,Dublin,-121.9358,37.7021,26.82,27.09,13.04,36.25,1014,47,6.69,290,,0,2.0,2016191.0,US,1690376772,1690428123,800,Clear,clear sky,01d,,,
10000,2023-07-26 20:05:49,611717,Tbilisi,44.8337,41.6941,23.84,24.08,23.84,23.84,1015,69,3.6,60,,40,1.0,8862.0,GE,1690422559,1690475086,802,Clouds,scattered clouds,03n,,,
10000,2023-07-26 20:06:30,3688689,Bogota,-74.0817,4.6097,16.73,16.47,16.73,16.73,1025,77,3.09,230,,40,1.0,8582.0,CO,1690368758,1690413166,802,Clouds,scattered clouds,03d,,,
10000,2023-07-26 20:05:01,1850147,Tokyo,139.6917,35.6895,30.74,36.91,28.75,31.55,1013,70,4.63,180,,40,2.0,268105.0,JP,1690400677,1690451436,802,Clouds,scattered clouds,03d,,,
10000,2023-07-26 20:06:32,1140043,Helmand Province,64.0,31.0,305.45,303.41,305.45,305.45,999,20,3.52,224,,31,,,AF,1690419452,1690468994,802,Clouds,scattered clouds,03n,5.0,999.0,921.0
10000,2023-07-26 20:06:33,5119232,Great River,-73.0,40.0,298.75,299.3,298.75,298.75,1018,74,6.57,195,,0,,,US,1690364674,1690416731,800,Clear,clear sky,01d,7.8,1018.0,1018.0
10000,2023-07-26 20:03:20,3860801,Colonia Caroya,-64.0,-31.0,284.32,282.67,284.32,284.32,1022,45,1.12,136,,100,,,AR,1690369633,1690407452,804,Clouds,overcast clouds,04n,1.2,1022.0,969.0
10000,2023-07-26 20:06:35,1168312,Pasni,64.0,25.0,301.25,307.03,301.25,301.25,1003,89,2.05,230,0.13,100,,,PK,1690420128,1690468318,500,Rain,light rain,10n,2.2,1003.0,1003.0
10000,2023-07-26 20:06:36,3441442,Ombues de Lavalle,-58.0,-34.0,283.15,281.27,283.15,283.15,1019,69,3.74,243,,2,,,UY,1690368551,1690405654,800,Clear,clear sky,01n,9.0,1019.0,1012.0
10000,2023-07-26 20:06:37,3515434,Tlalnepantla,-99.0,19.0,296.43,296.88,293.47,296.44,1016,79,1.79,339,0.38,89,1.0,7101.0,MX,1690373442,1690420444,500,Rain,light rain,10d,2.1,1016.0,807.0
10000,2023-07-26 20:06:38,2746304,Tijnje,6.0,53.0,286.19,285.93,284.18,288.15,1010,91,3.14,187,,62,2.0,2001318.0,NL,1690429504,1690486782,803,Clouds,broken clouds,04n,5.1,1010.0,1010.0
10000,2023-07-26 20:06:39,616971,Amasia,44.0,41.0,282.28,280.93,282.28,282.28,1018,94,2.52,48,,28,1.0,8847.0,AM,1690422873,1690475173,802,Clouds,scattered clouds,03n,2.5,1018.0,765.0
10000,2023-07-26 20:06:40,1282027,Malé,74.0,4.0,301.35,304.5,301.35,301.35,1011,72,2.25,154,,100,,,MV,1690419674,1690463972,804,Clouds,overcast clouds,04n,2.3,1011.0,1011.0
10000,2023-07-26 20:06:33,1851632,Shuzenji,139.0,35.0,301.66,305.49,301.66,301.66,1014,74,0.51,60,,11,2.0,2019346.0,JP,1690400936,1690451509,801,Clouds,few clouds,02d,0.4,,
